id,date_observed,time_observed,latitude,longitude,common_name
124,04/04/2021,12:46:18,1.317671898,103.9227485,Red Junglefowl
125,20/04/2021,08:01:47,1.306685769,103.7729639,Red Junglefowl
126,20/04/2021,10:20:01,1.307033025,103.7730568,Red Junglefowl
127,22/04/2021,07:24:51,1.306406557,103.7730494,Red Junglefowl
128,28/04/2021,06:24:29,1.306138889,103.773425,Red Junglefowl
129,28/04/2021,06:25:19,1.30624399,103.7732197,Red Junglefowl
130,30/04/2021,07:12:20,1.345886142,103.8369551,Red Junglefowl
131,30/04/2021,09:55:19,1.345612632,103.8368411,Red Junglefowl
132,13/05/2021,16:17:00,1.219514384,103.8484366,Red Junglefowl
133,25/05/2021,01:10:23,1.377014445,103.9530246,Red Junglefowl
134,25/05/2021,01:41:31,1.38153601,103.9653651,Red Junglefowl
135,26/05/2021,00:24:37,1.363775497,103.9481856,Red Junglefowl
136,04/06/2021,06:04:45,1.40468233,103.8903149,Red Junglefowl
137,09/06/2021,07:45:00,1.376703399,103.9522532,Red Junglefowl
138,18/06/2021,02:23:24,1.37809875,103.9499334,Red Junglefowl
139,19/06/2021,00:26:47,1.365511734,103.8352656,Red Junglefowl
140,05/06/2021,,1.313839696,103.8159135,Red Junglefowl
141,18/06/2021,09:48:36,1.348548504,103.7641991,Red Junglefowl
142,23/06/2021,09:47:13,1.363485565,103.8435613,Red Junglefowl
143,28/06/2021,07:19:56,1.380797222,103.949475,Red Junglefowl
144,25/06/2021,07:32:33,1.278726872,103.8399071,Red Junglefowl
145,14/06/2021,07:13:06,1.3210627,103.8158157,Red Junglefowl
146,14/06/2021,08:18:13,1.320758637,103.8157542,Red Junglefowl
147,14/06/2021,08:21:06,1.3217383,103.8157157,Red Junglefowl
148,14/06/2021,08:42:05,1.320680556,103.8157,Red Junglefowl
149,14/06/2021,08:44:33,1.32012,103.8154269,Red Junglefowl
150,14/06/2021,09:21:03,1.319652778,103.8164333,Red Junglefowl
151,14/06/2021,09:46:10,1.3191336,103.8167136,Red Junglefowl
152,14/06/2021,09:58:08,1.32095,103.815875,Red Junglefowl
153,17/07/2021,03:38:09,1.34909,103.763785,Red Junglefowl
154,17/07/2021,03:42:24,1.348495,103.7632783,Red Junglefowl
155,17/07/2021,09:42:43,1.346886667,103.7617,Red Junglefowl
156,17/07/2021,09:47:51,1.347055,103.7618717,Red Junglefowl
157,17/07/2021,09:48:28,1.347163333,103.7619733,Red Junglefowl
158,17/07/2021,10:06:20,1.34913,103.766155,Red Junglefowl
159,18/07/2021,09:25:56,1.346919177,103.7615588,Red Junglefowl
160,18/07/2021,09:52:12,1.34985,103.7649217,Red Junglefowl
161,18/07/2021,09:51:31,1.349375,103.7647217,Red Junglefowl
162,24/07/2021,02:36:01,1.316701667,103.818025,Red Junglefowl
163,24/07/2021,03:34:01,1.321083333,103.8173933,Red Junglefowl
164,17/06/2021,08:55:58,1.3763605,103.8978216,Red Junglefowl
165,29/07/2021,03:00:49,1.38163053,103.9507444,Red Junglefowl
166,25/07/2021,08:15:27,1.351841667,103.8217028,Red Junglefowl
167,28/08/2021,08:32:19,1.310803056,103.8158646,Red Junglefowl
168,28/08/2021,08:29:10,1.3101983,103.81638,Red Junglefowl
169,28/08/2021,08:27:01,1.3102016,103.8162633,Red Junglefowl
170,28/08/2021,08:06:39,1.311573028,103.8153305,Red Junglefowl
171,28/08/2021,16:56:00,1.315115757,103.8163269,Red Junglefowl
172,28/08/2021,09:54:41,1.348888889,103.7630556,Red Junglefowl
173,29/08/2021,02:06:00,1.348066175,103.7612329,Red Junglefowl
